New Folio No. and Face,Entry No.,Entry Part,Date Range-Standard-Start,Date Range-Standard-End,Date-Inferred,Date-Uncertain,Date-Approximate,Date-Type,Place-As Written,Place-Type,Place- Function,Date-Notes,Recited Date 1 Range-Standard-Start,Recited Date Range-Standard-End,Recited Date-Inferred,Recited Date-Uncertain,Recited Date-Approximate,Recited Date 1-Function,Recited Date 1-Place-As Written,Recited Date 1-Place-Type,Recited Date 1- Notes,Recited date 2-standard,Recited date 2-place-as written,Recited date 2-place – function,Recited date 2-place – type
100 r - 100 r,1255,,1387-10-24,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
100 r - 100 r,1256,,1387-11-12,,,,,Document date,Cawod,,,,,,,,,,,,,,,,
100 r - 100 r,1257,,1387-11-12,,,,,Memorandum date,Cawod,,,,,,,,,,,,,,,,
100 r - 100 v,1258,,1387-11-17,,,,,Document date,,,,,1373-05-31,,,,,document date`,Avinion',,,,,,
100 v - 100 v,1259,,1374-10-23,,,,,Document date,London',,,,,,,,,,,,,,,,
100 v - 100 v,1260,,1374-10-23,,,,,Document date,London',,,,,,,,,,,,,,,,
100 v - 100 v,1261,,1374-10-26,,,,,Document date,London',,,,,,,,,,,,,,,,
100 v - 100 v,1262,,1374-10-26,,,,,Memorandum date,London',,,,,,,,,,,,,,,,
100 v - 100 v,1263,,1374-10-26,,,,,Document date,London',,,,,,,,,,,,,,,,
100 v - 100 v,1264,,1374-10-24,,,,,Memorandum date,,,,,,,,,,,,,,,,,
100 v - 100 v,1265,,1374-10-24,,,,,Note date,,,,,,,,,,,,,,,,,
100 v - 100 v,1266,,1374-11-10,,,,,Note date,Suthwell,,,,,,,,,,,,,,,,
100 v - 100 v,1267,,1374-11-11,,,,,Document date,Suthwell,,,,,,,,,,,,,,,,
100 v - 100 v,1268,,1374-11-11,,,,,Document date,Suthwell,,,,,,,,,,,,,,,,
100A r - 100A r,1269,,[1374-11-11],,,,,Note date,,,,Presumably the same date as several of the preceding documents,,,,,,,,,,,,,
100A r - 100A r,1270,,[1374-11-11],,,,,Note date,Suthwell,,,Presumably the same date as several of the preceding documents,,,,,,,,,,,,,
100A r - 100A r,1271,,1374-11-11,,,,,Document date,Suthwell,,,,,,,,,,,,,,,,
100A r - 100A r,1272,,[1374-11-11],,,,,Note date,,,,,,,,,,,,,,,,,
100A r - 100A r,1273,,1374-11-10,,,,,Document date,Suthwell,,,,,,,,,,,,,,,,
100A r - 100A r,1274,,1374-11-10,,,,,Memorandum date,,,,,,,,,,,,,,,,,
100A r - 100A r,1275,,1374-11-27,,,,,Document date,Alverton',,,,,,,,,,,,,,,,
100A r - 100A r,1276,,1374-11-27,,,,,Document date,Alverton',,,,,,,,,,,,,,,,
100A r - 100A r,1277,,1374-12-08,,,,,Document date,Thorp',,,,,,,,,,,,,,,,
100A r - 100A r,1278,,1374-12-06,,,,,Memorandum date,Thorp' iuxta Ebor',,,,,,,,,,,,,,,,
100A r - 100A r,1279,,1374-12-07,,,,,Note date,,,,,,,,,,,,,,,,,
100A v - 100A v,1280,,1375-01-02,,,,,Document date,Thorp' iuxta Ebor',,,,,,,,,,,,,,,,
100A v - 100A v,1281,,1375-02-04,,,,,Document date,Cawod,,,,,,,,,,,,,,,,
100A v - 100A v,1282,,1375-02-10,,,,,Document date,Cawode,archbishop's manor,,,,,,,,,,,,,,,
100A v - 100A v,1283,,1375-03-24,,,,,Document date,Thorp' iuxta Ebor',,,,1371-01-17,,,,,document date,Avinon',,,,,,
101 r - 101 r,1284,,1375-03-11,,,,,Document date,Cawode,,,,[0000-00-00],,,,,,,,,,,,
101 r - 101 r,1285,,1374-11-16,,,,,Memorandum date,Scroby,,,,1376-12-01,,,,,document date,Haveryng',,,,,,
101 r - 101 r,1286,,1375-04-08,,,,,Memorandum date,Cawod,,,,,,,,,,,,,,,,
101 r - 101 r,1287,,1375-04-13,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
101 r - 101 r,1288,,1375-09-02,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
101 r - 101 v,1289,,1375-09-13,,,,,Document date,Croiden,archbishop's manor,,,1375-07-15,,,,,Document date,"Villamnovam, Avinion dioc'",,,1387-09-06,"Croidon', archbishop's manor",event date,
101 v - 101 v,1290,,1375-09-13,,,,,Document date,Croidon,"archbishop's manor, chapel in",,,,,,,,,,,,,,,
101 v - 101 v,1291,,1376-01-09,,,,,Document date,Cawode,,,,1375-12-28,,,,,Document date,Langele,,,,,,
101 v - 101 v,1292,,1376-01-09,,,,,Document date,Cawode,,,,1376-01-08,,,,,Event date,,,,,,,
101 v - 101 v,1293,,1376-09-05,,,,,Document date,Cawode,archbishop's manor,,,,,,,,,,,,,,,
102 r - 102 r,1294,,1376-10-04,,,,,Document date,London',,,,,,,,,,,,,,,,
102 r - 102 r,1295,,1376-10-04,,,,,Document date,London',,,,,,,,,,,,,,,,
102 r - 102 r,1296,,1375-08-01,,,,,Document date,Avinion',,,,,,,,,,,,,,,,
102 r - 102 r,1297,,1375-08-01,,,,,Document date,Avinion',,,,,,,,,,,,,,,,
102 r - 102 r,1298,,1376-12-16,,,,,Document date,Cawode,archbishop's manor,,,,,,,,,,,,,,,
102 r - 102 r,1299,,1376-12-16,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
102 r - 102 r,1300,,[0000-00-00],,,,,Document date,,,,"Undated, but document appears with others dated in 1375 and 1376",,,,,,,,,,,,,
102 v - 102 v,1301,,1376-12-22,,,,,Document date,Cawod,,,,,,,,,,,,,,,,
102 v - 102 v,1302,,1377-01-06,,,,,Document date,Thorp' iuxta Ebor',,,,,,,,,,,,,,,,
102 v - 102 v,1303,,1375-04-17,,,,,Document date,Avinion',,,,,,,,,,,,,,,,
103 r - 103 r,1304,,1375-09-28,,,,,Document date,Avinion',,,,,,,,,,,,,,,,
103 r - 103 r,1305,,1375-09-28,,,,,Document date,Avinion',,,,,,,,,,,,,,,,
103 r - 103 r,1306,,1376-08-09,,,,,Document date,Avinion',,,,,,,,,,,,,,,,
103 r - 103 r,1307,,1376-08-11,,,,,Document date,Avinion',,,,,,,,,,,,,,,,
103 v - 103 v,1308,,1377-02-07,,,,,Document date,London',,,,,,,,,,,,,,,,
103 v - 103 v,1309,,1377-01-12,,,,,Document date,Cawode,archbishop's manor,,,,,,,,,,,,,,,
103 v - 103 v,1310,,1377-06-29,,,,,Document date,Cawode,archbishop's manor,,,,,,,,,,,,,,,
103 v - 103 v,1311,,1377-07-05,,,,,Document date,Cawod,,,,,,,,,,,,,,,,
103 v - 103 v,1312,,1377-07-05,,,,,Document date,Cawode,archbishop's manor,,,,,,,,,,,,,,,
104 r - 104 r,1313,,1377-06-26,,,,,Document date,Kenyngton',,,,,,,,,,,,,,,,
104 r - 104 r,1314,,[1377]-07-04,,,,,Document date,Kenyngton',king's manor,,,,,,,,,,,,,,,
104 r - 104 r,1315,,[0000-00-00],,,,,Document date,,,,Perhaps copied in 1377?,,,,,,,,,,,,,
104 r - 104 v,1316,,[0000-00-00],,,,,Document date,,,,Perhaps copied in 1377?,,,,,,,,,,,,,
104 v - 104 v,1317,,1377-07-16,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
104 v - 104 v,1318,,1377-07-16,,,,,Memorandum date,[Cawode],,,,,,,,,,,,,,,,
104 v - 104 v,1319,,1377-08-12,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
104 v - 104 v,1320,,1377-09-02,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
104 v - 104 v,1321,,1377-08-24,,,,,Event date,Ripon',,,,,,,,,,,,,,,,
104 v - 104 v,1322,,1377-08-24,,,,,Event date,Ripon',,,,,,,,,,,,,,,,
105 r - 105 r,1323,,1377-12-03,,,,,Document date,Lataran',,,,,,,,,,,,,,,,
105 r - 105 r,1324,,[0000]-07-31,,,,,Document date,"Villamnovam, Avinionen' dioc'",,,"Year of date lost through damage, but perhaps 1377?",,,,,,,,,,,,,
105 r - 105 r,1325,,[0000-00-00],,,,,Document date,,,,"Date lost through damage, but document appears with others dated in 1377",,,,,,,,,,,,,
105 v - 105 v,1326,,1378-03-13,,,,,Document date,Cawode,archbishop's manor,,,,,,,,,,,,,,,
105 v - 105 v,1327,,[0000-00-00],,,,,Document date,,,,"Undated, but document appears with others dated in 1378 and 1379",,,,,,,,,,,,,
105 v - 105 v,1328,,1379-05-12,,,,,Document date,,,,,,,,,,,,,,,,,
105 v - 105 v,1329,,1379-05-05,,,,,Document date,,,,,,,,,,,,,,,,,
106 r - 106 r,1330,,1379-05-23,,,,,Document date,Swilyngton',,,,,,,,,,,,,,,,
106 r - 106 r,1331,,1379-10-26,,,,,Document date,"Rome, St Peter's",,,,,,,,,,,,,,,,
106 r - 106 r,1332,,1379-10-30,,,,,Document date,"St Benedict de Urbe sita in domibus ... Thomas, cardinal-priest of titular church of St Prisca",,,,,,,,,,,,,,,,
106 v - 106 v,1333,, [1379-00-00],,,,,Document date,,,,"Date perhaps lost through damage, but refers to papal provision of bishop of Dunkeld in 1379",,,,,,,,,,,,,
106 v - 106 v,1334,,1381-01-06,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
106 v - 106 v,1335,,1381-03-26,,,,,Document date,Beverlacu',,,,,,,,,,,,,,,,
106 v - 106 v,1336,,1381-04-20,,,,,Document date,Beverlaci',archbishop's manor,,,,,,,,,,,,,,,
106 v - 106 v,1337,, most of entry missing),[0000-00-00],,,,,,,,"Date perhaps lost through damage, but fragment appears with documents dated in 1381",,,,,,,,,,,,,
107 r - 107 r,1338,,1378-05-11,,,,,Document date,"Rome, St Peter's",,,,,,,,,,,,,,,,
107 v - 107 v,1339,,1382-02-25,,,,,Document date,London,bishop's house,,,1382-02-13,,,,,Document date,Cawod,,,,,,
107 v - 107 v,1340,,1382-02-09,,,,,Document date,Bernston',,,,,,,,,,,,,,,,
107 v - 107 v,1341,,1382-05-06,,,,,Document date,Faxflet',,,,,,,,,,,,,,,,
107 v - 107 v,1342,,1382-07-06,,,,,Document date,London',,,,,,,,,,,,,,,,
107 v - 107 v,1343,,1382-08-14,,,,,Event date,London',,,,1382-09-03,,,,,Event date,Merlawe parish church (Bucks),,,,,,
107 v - 107 v,1344,,1381-03-28,,,,,Document date,London',,,,,,,,,,,,,,,,
107 v - 107 v,1345,,1384-01-12,,,,,Document date,Cawode,,,Date ?annotated in a later hand '7. R. 2.',,,,,,,,,,,,,
107 v - 107 v,1346,,1384-01-12,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,,,
108 r - 108 r,1347,,1374-11-14,,,,,Event date,Suthwell,,,,,,,,,,,,,,,,
108 r - 108 r,1348,,1374-11-14,,,,,Event date,,,,,,,,,,,,,,,,,
108 r - 108 r,1349,,1374-11-17,,,,,Event date,,,,,,,,,,,,,,,,,
108 r - 108 r,1350,,[1374]-12-10,,,,,Event date,Thorp',,,,,,,,,,,,,,,,
108 r - 108 r,1351,,[1374-00-00],[1375-00-00],,Yes,,Event date,Thorp',,,"Undated, but document perhaps created between 1374 and 1375",,,,,,,,,,,,,
108 r - 108 r,1352,,[1374-00-00],[1375-00-00],,Yes,,Event date,Thorp',,,"Undated, but document perhaps created between 1374 and 1375",,,,,,,,,,,,,
108 r - 108 r,1353,,[1374-00-00],[1375-00-00],,Yes,,Event date,Thorp',,,"Undated, but document perhaps created between 1374 and 1375",,,,,,,,,,,,,
108 r - 108 r,1354,,1375-01-10,,,,,Event date,,,,,,,,,,,,,,,,,
108 r - 108 r,1355,,1375-01-10,,,,,Event date,,,,,,,,,,,,,,,,,
108 r - 108 r,1356,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 r - 108 r,1357,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 r - 108 r,1358,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 r - 108 r,1359,,[1375-00-00],[1376-00-00],,Yes,,Event date,Thorp',,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 r - 108 r,1360,,[1375-00-00],[1376-00-00],,Yes,,Event date,Thorp',,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 r - 108 r,1361,,[1375-00-00],[1376-00-00],,Yes,,Event date,Thorp',,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 r - 108 r,1362,,[1375-00-00],[1376-00-00],,Yes,,Event date,Cawode,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 r - 108 r,1363,,[1375-00-00],[1376-00-00],,Yes,,Event date,Cawode,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 r - 108 r,1364,,[1375-00-00],[1376-00-00],,Yes,,Event date,Cawode,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 r - 108 r,1365,,[1375-00-00],[1376-00-00],,Yes,,Event date,Cawode,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 r - 108 r,1366,,[1375-00-00],[1376-00-00],,Yes,,Event date,Cawode,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 r - 108 r,1367,,[1375-00-00],[1376-00-00],,Yes,,Event date,Cawode,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 r - 108 r,1368,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 r - 108 r,1369,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 r - 108 r,1370,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 r - 108 r,1371,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 r - 108 r,1372,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 r - 108 r,1373,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 r - 108 r,1374,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 r - 108 r,1375,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 r - 108 r,1376,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 r - 108 r,1377,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 r - 108 r,1378,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 r - 108 r,1379,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 r - 108 r,1380,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 r - 108 r,1381,,[1375?]-11-12,,,Yes,,Event date,Donc'?,,,"No year given, but perhaps dated in 1375, although another document is dated at Doncaster in November 1374",,,,,,,,,,,,,
108 r - 108 r,1382,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 r - 108 r,1383,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 r - 108 r,1384,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 r - 108 r,1385,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 r - 108 r,1386,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 r - 108 r,1387,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 r - 108 r,1388,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 r - 108 r,1389,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 r - 108 r,1390,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 r - 108 r,1391,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 r - 108 r,1392,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 r - 108 r,1393,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 r - 108 r,1394,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 r - 108 r,1395,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 r - 108 r,1396,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 r - 108 r,1397,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 r - 108 r,1398,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 r - 108 r,1399,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 v - 108 v,1400,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 v - 108 v,1401,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 v - 108 v,1402,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 v - 108 v,1403,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 v - 108 v,1404,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 v - 108 v,1405,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 v - 108 v,1406,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 v - 108 v,1407,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 v - 108 v,1408,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 v - 108 v,1409,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 v - 108 v,1410,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 v - 108 v,1411,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 v - 108 v,1412,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 v - 108 v,1413,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 v - 108 v,1414,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 v - 108 v,1415,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 v - 108 v,1416,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 v - 108 v,1417,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 v - 108 v,1418,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 v - 108 v,1419,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 v - 108 v,1420,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 v - 108 v,1421,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 v - 108 v,1422,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 v - 108 v,1423,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 v - 108 v,1424,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 v - 108 v,1425,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 v - 108 v,1426,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 v - 108 v,1427,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 v - 108 v,1428,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 v - 108 v,1429,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 v - 108 v,1430,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 v - 108 v,1431,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 v - 108 v,1432,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 v - 108 v,1433,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 v - 108 v,1434,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 v - 108 v,1435,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 v - 108 v,1436,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 v - 108 v,1437,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 v - 108 v,1438,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 v - 108 v,1439,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 v - 108 v,1440,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 v - 108 v,1441,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 v - 108 v,1442,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 v - 108 v,1443,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 v - 108 v,1444,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 v - 108 v,1445,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 v - 108 v,1446,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 v - 108 v,1447,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 v - 108 v,1448,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 v - 108 v,1449,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 v - 108 v,1450,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 v - 108 v,1451,,[1375-00-00],[1376-00-00],,Yes,,Event date,,,,"Undated, but document perhaps created between 1375 and 1376",,,,,,,,,,,,,
108 v - 108 v,1452,,[1376]-04-20,,,,,Event date,Scroby,,,"No year given, but another document is dated at Scroby on 21 April 1376",,,,,,,,,,,,,
108 v - 108 v,1453,,[1376-00-00],,,Yes,,Event date,,,,"Undated, but document perhaps created in 1376 or shortly afterwards",,,,,,,,,,,,,
109 r - 109 r,1454,,[1376-00-00],,,Yes,,Event date,,,,"Undated, but document perhaps created in 1376 or shortly afterwards",,,,,,,,,,,,,
109 r - 109 r,1455,,[1376-00-00],,,Yes,,Event date,,,,"Undated, but document perhaps created in 1376 or shortly afterwards",,,,,,,,,,,,,
109 r - 109 r,1456,,[1376-00-00],,,Yes,,Event date,,,,"Undated, but document perhaps created in 1376 or shortly afterwards",,,,,,,,,,,,,
109 r - 109 r,1457,,[1376-00-00],,,Yes,,Event date,,,,"Undated, but document perhaps created in 1376 or shortly afterwards",,,,,,,,,,,,,
109 v - 109 v,1458,, no personal names),[1378-00-00],,,Yes,,,,,"Undaated, but list perhaps drawn up for Convocation to be held in March 1378 (see entries nos 1496 and 1497)",,,,,,,,,,,,,
110 r - 110 r,1459,,1382-11-25,,,,,Document date,Westm',,,,,,,,,,,,,,,,
110 r - 110 r,1460,,[1382-00-00],,,,,Document date,,,,"Undated, but presumably relating to Sir John Savile's term of office as sheriff of Yorkshire from 24 November 1382 to 1 November 1383",,,,,,,,,,,,,
110 r - 110 r,1461,,[1382-00-00],,,,,Document date,,,,,,,,,,,,,,,,,
